Code;Libellé;Source
CODE_IRIS;Code complet IRIS;IGN (CONTOUR-IRIS)
INSEE_COM;Code communal INSEE ;INSEE (table-appartenance-geo-communes-19)
NOM_COM;Libellé de commune;INSEE (table-appartenance-geo-communes-19)
IRIS;Code IRIS;IGN (CONTOUR-IRIS)
NOM_IRIS;Nom de l'IRIS;IGN (CONTOUR-IRIS)
TYP_IRIS;Type d'IRIS;IGN (CONTOUR-IRIS)
EPCI;Code de la métropole d'appartance;INSEE (table-appartenance-geo-communes-19)
LIB_EPCI;Libellé de la métropole d'appartenance;INSEE (table-appartenance-geo-communes-19)
EPCI_SUB;Code de l'EPCI entre la commune et la métropole (si adapté) ;RIATE (metropole.xls)
LIB_EPCI_SUB;Libellé de l'EPCI entre la commune et la métropole (si adapté) ;RIATE (metropole.xls)
P16_MEN;Nombre de ménages en 2016;INSEE (base-ic-logement-2016)
P16_RP_VOIT1P;Nombre de ménages disposant au moins d'une voiture en 2016;INSEE (base-ic-logement-2016)
geom;Géométries;IGN (CONTOUR-IRIS)
